Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
,11,74,BT-TDR-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2292,1.2299,,0.7,23.33333333,7.87,0.564,6/28/23 14:25,,Person A,FALSE,,,,,,
,11,75,HOL-UP-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2096,1.2115,,1.9,63.33333333,8.07,2.37,6/28/23 14:25,,Person A,FALSE,,,,,,
,11,77,HOL-MID-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2166,1.2185,,1.9,63.33333333,8.07,2.131,6/28/23 14:25,,Person A,FALSE,,,,,,
,11,79,HOL-DOWN-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2045,1.2358,,31.3,1043.333333,,,6/28/23 14:25,,Person A,FALSE,,"Could not read EC and pH, probably due to limited sample amount",,,,
,11,80,HOL-CON-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2138,1.2171,,3.3,110,7.23,0.69,6/28/23 14:25,,Person A,FALSE,,,,,,
,11,81,Stock Solution,,6/26/2023,6/27/2023,6/28/2023,30,1.2229,1.2259,,3,100,,,,,Person A,FALSE,Good,,,,,
,12,1,Stock Solution,,7/5/2023,7/5/2023,7/11/2023,30,1.2168,1.2198,,3,100,,,,,Person A,FALSE,Good,,,,,
,12,2,DI,,7/5/2023,7/5/2023,7/11/2023,30,1.2277,1.2277,,0,0,,,,,Person A,FALSE,Good,,,,,
,12,3,UYM-03-OT-ISC-4-1,,6/29/2023,7/5/2023,7/11/2023,30,1.2184,1.2194,,1,33.33333333,8.26,0.475,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,4,UYM-03-OT-ISC-4-1-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2126,1.2131,,0.5,16.66666667,8.22,0.476,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,5,UYM-03-OT-ISC-4-3,,6/29/2023,7/5/2023,7/11/2023,30,1.2147,1.215,,0.3,10,8.12,0.49,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,6,UYM-03-OT-ISC-4-5,,6/29/2023,7/5/2023,7/11/2023,30,1.2178,1.2182,,0.4,13.33333333,8.16,0.489,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,7,UYM-03-OT-ISC-4-7,,6/29/2023,7/5/2023,7/11/2023,30,1.2147,1.2151,,0.4,13.33333333,8.18,0.47,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,8,UYM-03-OT-ISC-4-7-D,,6/29/2023,7/5/2023,7/11/2023,30,1.219,1.2193,,0.3,10,8.16,0.471,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,9,UYM-03-OT-ISC-4-9,,6/29/2023,7/5/2023,7/11/2023,30,1.2166,1.2171,,0.5,16.66666667,8.14,0.476,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,10,UYM-03-OT-ISC-4-11,,6/29/2023,7/5/2023,7/11/2023,30,1.2088,1.2091,,0.3,10,8.09,0.483,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,11,UYM-03-OT-ISC-4-13,,6/29/2023,7/5/2023,7/11/2023,30,1.2329,1.2337,,0.8,26.66666667,8.21,0.465,7/5/23 0:00,,Person A,FALSE,,,,,,
,12,12,UYM-03-OT-ISC-4-13-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2042,1.2049,,0.7,23.33333333,8.18,0.465,7/5/23 0:00,,Person A,FALSE,,,,,,
,13,13,Stock Solution,,7/5/2023,7/5/2023,7/11/2023,30,1.2174,1.2204,,3,100,,,,,Person A,FALSE,Good,,,,,
,13,14,DI,,7/5/2023,7/5/2023,7/11/2023,30,1.2246,1.2246,,0,0,,,,,Person A,FALSE,Good,,,,,
,13,15,UYM-03-IN-LC-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2042,1.2045,,0.3,10,8.13,0.396,7/5/23 0:00,,Person A,FALSE,,,,,,
,13,16,UYM-03-IN-LC-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2201,1.2206,,0.5,16.66666667,8.09,0.395,7/5/23 0:00,,Person A,FALSE,,,,,,
,13,17,SB-03-OT-ISC-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2099,1.2104,,0.5,16.66666667,8.33,0.373,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,18,SB-03-OT-ISC-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2023,1.2027,,0.4,13.33333333,8.35,0.373,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,19,SCA-03-GB-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2028,1.2035,,0.7,23.33333333,8.42,0.505,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,20,SCA-03-GB-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.1967,1.1973,,0.6,20,8.4,0.506,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,21,SCI-03-GB-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2119,1.2123,,0.4,13.33333333,8.51,0.405,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,22,SCI-03-GB-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2199,1.2204,,0.5,16.66666667,8.52,0.404,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,23,SCO-03-GB-4,,6/29/2023,7/5/2023,7/11/2023,30,1.219,1.2196,,0.6,20,8.3,0.426,7/8/23 0:00,,Person A,FALSE,,,,,,
,13,24,SCO-03-GB-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2179,1.2183,,0.4,13.33333333,8.3,0.426,7/8/23 0:00,,Person A,FALSE,,,,,,
,14,25,Stock Solution,,7/5/2023,7/5/2023,7/11/2023,30,1.2022,1.2053,,3.1,103.3333333,,,,,Person A,FALSE,Good,,,,,
,14,26,DI,,7/5/2023,7/5/2023,7/11/2023,30,1.1932,1.1933,,0.1,3.333333333,,,,,Person A,FALSE,,,,,,
,14,27,MOR-03-GB-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2116,1.2119,,0.3,10,7.92,0,7/8/23 0:00,,Person A,FALSE,"retested 0.0617, 8/6/2023",,,,,
,14,28,MOR-03-GB-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.1996,1.1998,,0.2,6.666666667,7.69,0,7/8/23 0:00,,Person A,FALSE,"retested 0.082, 8/6/2023",,,,,
,14,29,TR-03-GB-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2183,1.2188,,0.5,16.66666667,8.53,0.288,7/8/23 0:00,,Person A,FALSE,,,,,,
,14,30,TR-03-GB-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2188,1.219,,0.2,6.666666667,8.63,0.261,7/8/23 0:00,,Person A,FALSE,,,,,,
,14,31,LG-02-OT-LC-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2168,1.2175,,0.7,23.33333333,7.1,0,7/8/23 0:00,,Person A,FALSE,"retested 0.065, 8/6/2023",,,,,
,14,32,LG-02-OT-LC-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2049,1.2049,,0,0,7.1,0,7/8/23 0:00,,Person A,FALSE,"retested 0.0766, 8/6/2023",,,,,
,14,33,LG-02-IN-GB-4,,6/29/2023,7/5/2023,7/11/2023,30,1.2024,1.2026,,0.2,6.666666667,7.11,0,7/8/23 0:00,,Person A,FALSE,"retested 0.0569, 8/6/2023",,,,,
,14,34,LG-02-IN-GB-4-D,,6/29/2023,7/5/2023,7/11/2023,30,1.2185,1.219,,0.5,16.66666667,7.12,0,7/8/23 0:00,,Person A,FALSE,"retested 0.444, 8/6/2023",,,,,
,15,40,Stock Solution,,7/19/2023,7/19/2023,7/21/2023,30,1.2007,1.2037,,3,100,,,,,Person A,FALSE,Good,,,,,
,15,41,DI,,7/19/2023,7/19/2023,7/21/2023,30,1.215,1.2151,,0.1,3.333333333,,,,,Person A,FALSE,,,,,,
,15,42,K-MT1-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2252,1.2359,,10.7,356.6666667,8.46,0.1607,7/23/23 0:00,,Person A,FALSE,,,,,,
,15,43,K-CT1-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.1935,1.2146,,21.1,703.3333333,8.18,0.1561,7/23/23 0:00,,Person A,FALSE,,,,,,
,15,44,K-MT2-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2055,1.2323,,26.8,893.3333333,8.16,0.1613,,,Person A,FALSE,,,,,,
,15,45,K-MT2-01-GBH-4-D,,7/17/2023,7/19/2023,7/21/2023,30,1.2148,1.2424,,27.6,920,8.18,0.1606,,,Person A,FALSE,,,,,,
,15,46,K-ST1-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2117,1.2249,,13.2,440,8.17,0.1611,,,Person A,FALSE,,,,,,
,NA,NA,K-CT1-01-GBH,,7/17/2023,7/18/2023,NA,NA,NA,NA,NA,NA,16,8.21,0.163,,,Person A,FALSE,,"This sample was accidentally sent to ALS, so we had them process it for TSS, EC, and pH.  Note that TSS seems suspicisouly low.",,,,
,15,47,K-ST2-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2094,1.2573,,47.9,1596.666667,8.13,0.1608,,,Person A,FALSE,,,,,,
,15,48,K-ST1-01-LC-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2082,1.2235,,15.3,510,8.19,0.1604,,,Person A,FALSE,,,,,,
,15,49,K-CT2-01-GBH-4,,7/17/2023,7/19/2023,7/21/2023,30,1.2122,1.2496,,37.4,1246.666667,8.22,0.16,,,Person A,FALSE,,,,,,
